,User,Pesan,Jam,Tanggal
35,Willy N,"Wkwkwkw saya punya brg minus di same, jd semangat. Jadi ga sabar tgg gajian buat avg down :joy:",6:26:38 PM,"Tuesday, March 23, 2021"
36,Rui,"Nah berarti bole dipantau dan dipelajari ... siapakah gerangan KZ ini, dia mulai beli dari kapan exactly pertama kalinya, seberapa cepat dia beli dan kapan :smile::smile: seperti MS di SAME, itu dia tgl 10 Desember 2020 pertama kali masuk dan belanja di SAME ...  ayo ayo ikutan jadi sales :+1:🏽:+1:🏽:laughing:",6:25:04 PM,"Tuesday, March 23, 2021"
37,Rui,"Ga perlu naik jabatan, yang penting cuan lebarrrrrr 🤣🤣🤣

@hmasori aminn pak, semoga ekonomi cepat pulih jadinya lebih adem ayem perasaan meskipun masi ada covid :pray:🏽:pray:🏽

@luckv02 nah ini setuju, kl pariwisata sudah pulih ini udah golden cross plus morning starnya dah buat sinyal reversal 🤣🤣",6:20:22 PM,"Tuesday, March 23, 2021"
38,EPR141ERLANGGA,Tempat pijet itu masuk kategori tempat wisata kak? :sweat_smile:,6:20:17 PM,"Tuesday, March 23, 2021"
39,Hendro Masori,Client saya consumer good udah mulai belanja research. Belum balik seperti pandemi sih. Tapi dikit lagi lah.,6:19:52 PM,"Tuesday, March 23, 2021"
40,Hendro Masori,"Btw sekedar sharing. Saya di bisnis jasa marketing research di bulan Maret ini mulai merasakan peningkatan sales secara significant.

Bisnis saya ini saat ada pandemi sebangsa Covid19 pasti kena dampak yg pertama dan pulih yg terakhir. Karena perusahaan kalau mau hemat yg pertama dipotong adalah dana research dulu. Kalau udah mulai pulih ya dana reaearch yg terakhir dibelanjakan.

Poin saya adalah semoga ini tanda2 ekonomi mulai pulih. Kalau perusahaan2 sudah mulai belanja research berarti mereka sudah mulai reversal.

Semoga berlanjut terus pemulihan ekonomi Indonesia. Aamiiiiiin....",6:17:45 PM,"Tuesday, March 23, 2021"
41,Dimas Prakoso,Wooow mantap berarti pak de :grin::joy::+1:,6:17:34 PM,"Tuesday, March 23, 2021"
42,Rui,"Kalau Buy dikurangi Sell ya silakan hitung sendiri ... MS beli 59.5 Milyar nilai saham, baru dijual 360.000 rupiah saja .... jadi sekarang MS punya berapa?  Itu yang saya tulis sudah harga net .... 59.5 Milyar dikurangi 360rb ya kurlebnya masi 59.5 Milyar ...

@m_ikhsanf  Sudah dipantau berapa itu KZ beli dan jual? Dihitung Netnya kak, seberapa perbandingan dia beli dan jual :+1:🏽",6:16:15 PM,"Tuesday, March 23, 2021"
43,Hendro Masori,Ci Rui material direktur Pak. :grin:,6:13:03 PM,"Tuesday, March 23, 2021"
44,Dimas Prakoso,"Nanti kalau cent berhasil lagi, lanjut smra,berhasil lagi.. naik jabatan jadi spv udah bukan sales lagi :grin::+1: #bercanda",6:12:32 PM,"Tuesday, March 23, 2021"
45,Rui,"Rahasia dapur .....

Sekali lagi ... pola pikir ritel sama bandar itu beda ... cobalah berpikir seperti bandar ... bukan ritel yang memposisikan diri gaya2an kaya bandar ya ....  sudah dikasi analisa lho, itu tinggal hitung pakai matematik saja mudah bisa tahu porsinya MS di seluruh saham SAME yang beredar di publik ada berapa dan average berapa... Lalu simpulkan sendiri secara logic itu artinya apa....

Lelah jadi sales, pembelinya manja2 , beneran dah ini kaya pak HM aj lama2, gembok trus diem duduk manis...... 🙄",5:56:45 PM,"Tuesday, March 23, 2021"
46,aaa,ya udah lgsg dijawab aja kak cl diberapa... :grinning:,5:54:14 PM,"Tuesday, March 23, 2021"
47,Rui,"Kalau CL saya kena ya saya CL, that simple ... Abis itu cari entry lagi lebih di bawah karena saya mau hold SAME lama ... Abis ini nanya saya CL di berapa? 🤣🤣",5:49:22 PM,"Tuesday, March 23, 2021"
48,Rui,"Saya amini saja Koh!! :laughing::laughing::pray:🏽:pray:🏽:+1:🏽:+1:🏽 ... sampe 1000 aj saya sudah seneng banget 🤣

yang SAME yang SAME #jualanteroooosss

@Ryusei13 maksudnya gimana bandar ngamuk? Ini pasti ga baca analisa saya diatas tadi kapan MS masuk dan seberapa besar dll ..... lagi2 mindset 'ritel vs bandar' ... coba diperlebar pandangannya kak .... baru diajak konsolidasi turun cuma seiprit sudah worry berarti ya belum paham pergerakan pasar .....",5:39:12 PM,"Tuesday, March 23, 2021"
49,Bapakne Naila,"Bukan2, salah satu ciri distribusi adl banyak berita baik keluar, analis matok target segini segitu. Untuk harga skrg saya ga ngikutin om :grin:",5:37:00 PM,"Tuesday, March 23, 2021"
50,Rick Andre,Btw cent turun dngn volume kcil.. tp same.. sprti distribusi kl ditarik 3 -4 hr kblakang dr vol nya.. sy jg ad same ci.. cm agk worry.. :pray: smoga dbawa keatas..,5:35:41 PM,"Tuesday, March 23, 2021"
51,Rick Andre,Be carefull ci.. kdng kl smpai sedetail it  bandarnya ngamuk.. :joy:..,5:33:09 PM,"Tuesday, March 23, 2021"
52,Billy,Maniac Same :joy: berarti minimal 5000 dong ci tahun ini klo maniac :rocket::rocket::rocket::rocket:,5:31:51 PM,"Tuesday, March 23, 2021"
53,Rui,"Ganjelannya bukan antrian bid tipu2 kak ... ganjelannya itu kalo bid habis lot diisi lagi terus2an, ga dikasi turun :kissing_closed_eyes:

@radityadikanasution nah gantian coba anda yang analisa broksumnya CENT",5:29:28 PM,"Tuesday, March 23, 2021"
54,Kaanz✓,"Bank Jago (ARTO) Siap Masuk Bisnis Syariah | Finansial - Bisnis.com
https://finansial.bisnis.com/read/20210323/90/1371431/bank-jago-arto-siap-masuk-bisnis-syariah",5:08:23 PM,"Tuesday, March 23, 2021"
55,Johny,kalo broksum Cent gimana ci,4:43:27 PM,"Tuesday, March 23, 2021"
56,Hendro Masori,Kurang pol pol an berarti. :stuck_out_tongue_winking_eye:,4:18:43 PM,"Tuesday, March 23, 2021"
57,Dave @propertyimpianmurahsurabaya,":sob: mau antri same d 458 g d ksh"" :speak_no_evil:",4:14:39 PM,"Tuesday, March 23, 2021"
58,Bhagas,"hehe iya pak,suka2 sahamnya aja..:pray:🏾

kalo lihat di tf h1 keliatan turun dengan area 246 yang perlu diliat,apabila terus lagi ya most likely lanjutt:smile:",4:03:28 PM,"Tuesday, March 23, 2021"
59,INDF 3000,CENT High rejection 4 kali ya..mungkin test area 200-230 dul,3:52:48 PM,"Tuesday, March 23, 2021"
60,Aho Lie,Bagusnya pesta blm mulai:pray::pray:,3:47:12 PM,"Tuesday, March 23, 2021"
61,Rolando,"MS, maniak same",3:41:44 PM,"Tuesday, March 23, 2021"
62,Bhagas,"iya pak betul,malah cent sudah engulf area sebelumnya menurut saya pak",3:41:31 PM,"Tuesday, March 23, 2021"
63,Rui,"Another fun fact ... dari 44B yang MS akum di bulan maret, lebih dari 50%nya alias 26B dia akum mulai saat SAME konsolidasi setelah kena reject di ATHnya :heart::smile:",3:37:23 PM,"Tuesday, March 23, 2021"
64,Aho Lie,Mirip chart ama cent:pray:,3:31:46 PM,"Tuesday, March 23, 2021"
65,Puspita Wardani,"Ya klu bandinginnya sama thn 2019 ya jelas turun lah, coba bandingin sama rokok2 lainnya",3:26:06 PM,"Tuesday, March 23, 2021"
66,Rui,:see_no_evil:🤣 bisa aj kak JSugiarto,3:25:43 PM,"Tuesday, March 23, 2021"
67,Rui,"Parkir lamaan gapapa ko, 3 minggu lebih kalo perlu biar nanti yang parkir bukan mobil lagi tapi jet siap meluncur keatas :pray:🏽:laughing:

@Akaruiii tapi masi sempet pethakilan 10 lot lho dibuang 🤣🤣",3:22:15 PM,"Tuesday, March 23, 2021"
68,Silfia,"Same sideaway dulu aja gak papa, bikin base kuat",3:22:05 PM,"Tuesday, March 23, 2021"
69,Bhagas,same masih parkir :smile:,3:20:30 PM,"Tuesday, March 23, 2021"
70,Bow,Kalo cari pasangan berarti yg kayak bandar MS ya kak.. Setiaaaaa... :joy:,3:17:55 PM,"Tuesday, March 23, 2021"
71,"Apt, Yulianto Wijaya S Farm, RTA (FRED)",Serahkan ke market aja..kita follow market aja,3:16:15 PM,"Tuesday, March 23, 2021"
72,rigeladitya,"https://www.tharptradertest.com/pdf/Strategic-Trader-Report.pdf ini report lengkapnya pak... challenge nya kepotong di situ. Sama kaya saya btw. Buat saya sih hasilnya iya banget,  perfeksionis pengen beli bawah banget jual atas banget, persis kepribadian saya :sweat_smile::sweat_smile:",3:12:26 PM,"Tuesday, March 23, 2021"
73,JSugiarto,"Ngamati Ikan bbrp hari tunggu dibangkitkan, giliran bangkit cepet bgt naiknya. Mau beli closing kok lompat closingnya, khawatir MG buang barang pas closing :see_no_evil:",3:10:42 PM,"Tuesday, March 23, 2021"
74,Rui,cuma buang 10 lot ... ini kepencet kali ya tombol sellnya 🤣,3:09:34 PM,"Tuesday, March 23, 2021"
75,JSugiarto,"Kayaknya utk sy kok nggak tepat Ci...lha wong sy masih sering keliru, bbrp kali CL, malah mabur...terakhir Bumi, CL pas beli 63 ke 61 2 ato 3hr yll :see_no_evil: sebelumnya mcor, lsip :see_no_evil::see_no_evil:",3:08:52 PM,"Tuesday, March 23, 2021"
76,Rui,Fun fact .... bandar MS akum terus SAME dari tgl 10 December 2020 dan sampai sekarang cuma lepas 10 lot 🤣,3:08:06 PM,"Tuesday, March 23, 2021"
77,Fajar Oktavaria,"dulu saya main layang"" cuma silau aja kok pak sama seperti sekarang melihat yang merah merah :see_no_evil:",3:07:35 PM,"Tuesday, March 23, 2021"
78,Bhagas,"gak perlu akurasi tinggi"" pak,, ujungnya ke trading plan dan money manajemen:+1:🏿:+1:🏿:smile:",3:07:32 PM,"Tuesday, March 23, 2021"
79,Aho Lie,Td kereta pertama muat dikit,3:06:32 PM,"Tuesday, March 23, 2021"
80,rigeladitya,saya dulu main layangan gak sampe gini pak :joy:,3:06:18 PM,"Tuesday, March 23, 2021"
81,Fajar Oktavaria,untuk cent di 3 chart terakhir 250-254 titik pullbacknya apa besok naik atau konsol atau koreksi ? who knows,3:06:13 PM,"Tuesday, March 23, 2021"
82,Jafar Sim,"Haaiyaaa salah lagi, akurasi tetap 0% deh, closing ihsg : 6258 prediksi:6277 , cent :256 prediksi 254, ngomong ngomong tadi pak Aho sudah serok cent 254? :eyes::eyes:",3:04:22 PM,"Tuesday, March 23, 2021"
83,Kaanz✓,"Bener kak, turun dikit pun habis ti diangkat lagi ke harga 460-464  bener"" ga ada obat:joy:, biasa nya kalo konsolidasi disini terus kuat dan masih bisa bertahan, kalo naik ga ada obat kak:joy:",3:01:54 PM,"Tuesday, March 23, 2021"
84,A'an Wiyanto,Ini main layangan atau sparring partner tinju Pak 🤼🏾‍♂️🤼🏾‍♂️,3:01:38 PM,"Tuesday, March 23, 2021"
85,Jafar Sim,Same banyak yg militan susah kali digoyang 🤦‍♂️ tadinya prediksi saya same closing di 424 pak,3:00:54 PM,"Tuesday, March 23, 2021"
86,Rui,ini bener2 ga dikasi turun sama MS ... sejak konsolidasi kemarin senin dia akum terus buanyaaak .... dan selalu di harga 464-466,2:59:55 PM,"Tuesday, March 23, 2021"
87,Fakhri Arsyan,"ini persepsi saya ya, kemungkinan drop ke garis2 merah itu. hari ini udh close di bawah garis merah yg pertama",2:57:49 PM,"Tuesday, March 23, 2021"
88,Kaanz✓,"Ritelnya udah ga ada cash pak mau nambah:joy:, udah pada sangkut dalem:see_no_evil:, mau averange down ragu"" :grin:",2:57:46 PM,"Tuesday, March 23, 2021"
89,rigeladitya,"Beberapa saham ga gerak bahkan malah ijo... ANTM itu loh, ga terpengaruh sama indeks. Ritelnya udah habis kali ya?",2:56:53 PM,"Tuesday, March 23, 2021"
90,INDF 3000,"Lord MG masuk LSIP..
hehehe,biasanya ga pernah merhatiin ini, tapi hype banget nih MG:grin:

Kita lihat apakah MG bener2 sakti :sunglasses:",2:55:51 PM,"Tuesday, March 23, 2021"
91,Rui,Maen layang2 sampe masuk angin maksudnya pak? 🤣 Ko seram kali simptomnya hahahaha,2:55:44 PM,"Tuesday, March 23, 2021"
92,Hendro Masori,Trio saham saya masih bertahan. Same ssms lppf...,2:55:05 PM,"Tuesday, March 23, 2021"
93,Kaanz✓,"Bakal kek gimana🤣, BBCA sebagai sektor defensif ihsg akan tumbang kah:see_no_evil:",2:54:15 PM,"Tuesday, March 23, 2021"
94,Hendro Masori,"Kadang trading saham itu kayak maen layang2. Ada saat dimana mata merah, tenggorokan kering, muka pucat, hidung meler, bibir pecah pecah... :grin:",2:54:09 PM,"Tuesday, March 23, 2021"
95,Carlo Micelli,Amin,2:53:39 PM,"Tuesday, March 23, 2021"
96,rigeladitya,BUMI memimpin coal... Juara nih KOMPAS100,2:53:25 PM,"Tuesday, March 23, 2021"
97,Fakhri Arsyan,Chartnya bbca cukup menggambarkan sih buat ihsg,2:53:04 PM,"Tuesday, March 23, 2021"
98,Mic,Jooss bwpt,2:52:13 PM,"Tuesday, March 23, 2021"
99,Dane Fernando,Oke BEBS,2:52:00 PM,"Tuesday, March 23, 2021"
100,Bow,*ketiduran di stasiun 450 SAME...,2:50:07 PM,"Tuesday, March 23, 2021"
101,Rui,"Hahahaha SAME dari 2020 tapi masi pethakilan terus kak, keluar masuk makanya hasilnya juga blm maksimal :laughing::laughing: dan bener banget sih itu, saya kadang terlalu kritikal sama analisa sendiri, makanya suka ga percaya sama trading plan sendiri padahal biasanya bener dan sangat membuahkan hasil kalau disiplin 

Ayo2 lanjut belajarrr ✍🏽✍🏽✍🏽:book::book:",2:48:56 PM,"Tuesday, March 23, 2021"
102,Erich,bca mao tutup gap..doid arakan kburu ga 🤪,2:48:46 PM,"Tuesday, March 23, 2021"
103,Kaanz✓,"Masih kuat, PTBA juga masih tertahan di atas suportnya",2:47:44 PM,"Tuesday, March 23, 2021"
104,rigeladitya,"Gimana gak detil dirimu.. Beli SAME dari 2020, diubek ubek itu chart dan broksum, hapal titik support resist, hapal tanggal CA, hapal yang beli broker mana aja. Tapi... hasilnya ga mengkhianati usahanya.",2:44:24 PM,"Tuesday, March 23, 2021"
105,Erich,doid doid doid ara,2:44:15 PM,"Tuesday, March 23, 2021"
106,shely veronica,CENT strong :smile:,2:43:30 PM,"Tuesday, March 23, 2021"
107,Silfia,"Setiap cpo naik, ihsg malah turun, bener2 di jegal semesta :see_no_evil:",2:42:27 PM,"Tuesday, March 23, 2021"
108,"Apt, Yulianto Wijaya S Farm, RTA (FRED)",BBCA ternyata terdeteksi pattern rising wedge dan dicurigai ada head n shoulder dg titik penting 33 rb...break dan bertahan dibawah 33 rb akan menuju ke 30900/ medium ke target pattern HnS di 29500-29700...long term ke 27650-28000 (nutup gap),2:42:08 PM,"Tuesday, March 23, 2021"
109,Erich,brmmmmmm...minggir22..ada yg ijo tebel pas market vibe jelek..si raja duit,2:42:04 PM,"Tuesday, March 23, 2021"
110,Fajar Suryo,Dikunyah yang masuk MIKA kemarin 🥴,2:41:33 PM,"Tuesday, March 23, 2021"
111,Rui,"🤔  bener banget sih ini, kadang terlalu critical .... Thank you ya buat yang sudah share link ini :pray:🏽:pray:🏽",2:41:13 PM,"Tuesday, March 23, 2021"
112,Aho Lie,Inget klo merah saatnya belanja bukan kita tebalik:pray::pray:,2:39:46 PM,"Tuesday, March 23, 2021"
